Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 20,20201201_20210301,543.95%,8.76046,1290/37/1012, 20210301_20210401,744,85.62%,1.69, 155.85%,405, 12, 327, 54.4,22/0/9,14:26:00, 11:16:00, 17:22:00,103.4%,15,-0.33, -0.44, 13:08:00,9,0, 6, 60.0
USDT200, 20,20201101_20210201,151.21%,8.27441,335/316/33, 20210201_20210301,363,43.13%,2.29, 604.11%,204, 122, 37, 56.2,21/2/4,1 day 10:00:00, 17:15:00, 3 days 18:47:00,105.94%,20,-16.81, -28.57, 4 days 9:09:00,0,0, 20, 0
USDT200, 20,20201001_20210101,51.50%,4.81839,219/208/31, 20210101_20210201,265,61.61%,3.74, 212.65%,158, 79, 28, 59.6,26/2/3,2 days 4:35:00, 18:22:00, 5 days 7:19:00,84.34%,20,-10.63, -16.80, 6 days 8:48:00,1,0, 19, 5.0
USDT200, 20,20200901_20201201,18.05%,2.44510,154/158/27, 20201201_20210101,159,8.91%,1.13, 174.73%,82, 54, 23, 51.6,18/10/3,3 days 15:55:00, 23:06:00, 7 days 22:34:00,27.28%,20,-8.28, -9.46, 6 days 13:30:00,3,0, 17, 15.0
USDT200, 20,20200801_20201101,-9.76%,0.48579,190/203/45, 20201101_20201201,298,35.26%,2.15, 162.87%,158, 121, 19, 53.0,25/0/3,1 day 18:28:00, 18:31:00, 4 days 7:06:00,44.52%,18,-6.42, -8.37, 4 days 4:07:00,4,0, 14, 22.2
USDT200, 20,20200701_20201001,34.06%,2.68250,227/168/37, 20201001_20201101,143,-5.73%,-0.71, 299.18%,49, 73, 21, 34.3,17/11/2,3 days 23:09:00, 1 day 7:10:00, 10 days 17:51:00,-10.1%,20,-14.42, -15.52, 10 days 13:27:00,0,0, 20, 0
USDT200, 20,20200601_20200901,45.30%,6.45275,166/182/28, 20200901_20201001,137,-23.06%,-3.28, 426.37%,43, 55, 39, 31.4,17/2/10,4 days 1:28:00, 1 day 2:04:00, 7 days 14:28:00,-16.68%,19,-6.75, -5.44, 9 days 3:25:00,2,0, 17, 10.5
USDT200, 20,20200501_20200801,42.99%,10.98882,157/202/16, 20200801_20200901,193,19.81%,1.89, 169.49%,93, 81, 19, 48.2,23/4/2,2 days 23:28:00, 1 day 5:52:00, 9 days 17:22:00,30.11%,20,-8.36, -10.32, 8 days 14:06:00,3,0, 17, 15.0
USDT200, 20,20200401_20200701,38.64%,4.26715,187/196/24, 20200701_20200801,205,24.28%,2.11, 64.24%,113, 76, 16, 55.1,22/5/3,2 days 17:27:00, 1 day 1:44:00, 8 days 6:38:00,31.66%,20,-2.53, -3.01, 5 days 8:00:00,8,0, 12, 40.0
USDT200, 20,20200301_20200601,34.19%,1.66465,768/205/679, 20200601_20200701,327,-18.36%,-1.18, 394.74%,118, 58, 151, 36.1,12/2/16,1 day 13:27:00, 1 day 10:50:00, 1 day 7:36:00,-5.77%,20,-1.46, -1.22, 1 day 14:18:00,2,0, 18, 10.0
